newsSource|publishDate|headlineText
The Daily Mail|2014 04 21|COURT MARSHAL: Supreme Court rules in favour of transgender people
The Daily Mail|2014 04 30|Heated debate as transgender girl, 16, born male, is sent to women's prison
The Daily Mail|2014 05 01|Transgender inmate sues state to allow her hormone treatment to continue after she suffered facial hair growth and depression when it stopped
The Daily Mail|2014 05 07|Police hunt transgender pageant queen who 'killed another transgender woman with botched butt injections'
The Daily Mail|2014 05 13|Transgender teen relocated in Connecticut prison
The Daily Mail|2014 05 14|Transgender Austrians get new school transcripts
The Daily Mail|2014 05 15|Transgender model Carmen Carrera poses nude as both Adam AND Eve in fantastical photo artworks to promote AIDS event
The Daily Mail|2014 05 15|Transgendered beauty queen who 'killed another transgender woman with botched butt injections' turns herself in on homicide charges after being on the run
The Daily Mail|2014 05 15|Transgendered beauty queen who 'killed another transgender woman with botched butt injections' turns herself in on homicide charges after being on the run
The Daily Mail|2014 05 18|Schools nationwide changing attitudes toward transgendered students - opening up locker rooms and restrooms that were once closed
The Daily Mail|2014 05 18|Schools nationwide changing attitudes toward transgendered students - opening up locker rooms and restrooms that were once closed
The Daily Mail|2014 05 24|She's a perfect drag queen! Australia's most famous transsexual Carlotta says actress Jessica Marais 'really did remind me of me' shooting a new telemovie about her life
The Daily Mail|2014 05 29|'Why did God make me like this?': Parents share incredibly moving film about having a transgender son and why they decided to let him change gender and become a boy at age five
The Daily Mail|2014 05 31|Spencer's law: Transgender teen, who was born a girl but identifies as 'unambiguously male', wins approval to begin testosterone treatment
The Daily Mail|2014 06 05|Treatment center accepts jailed transgender teen
The Daily Mail|2014 06 08|Transgender woman escapes after she was kept as a sex slave for months by Louisiana trio who 'beat her and amazingly confessed to the abuse in online memes'
The Daily Mail|2014 06 11|Transgender woman handed receipt with 'Gay b*****s' printed on it accuses bar of discrimination and claims she was left humiliated by the way staff treated her
The Daily Mail|2014 06 17|Transsexual model Sofie Vissa shares pictures of flirty Instagram exchanges with Casper Smart... as it emerges he is planning to sue over her claims
The Daily Mail|2014 06 18|Transgender woman charged 'for getting her daughter and two of the child's fifth grade friends drunk'
The Daily Mail|2014 06 19|New York sued over transgender Medicaid coverage
The Daily Mail|2014 06 23|Transgender woman fell from tree
The Daily Mail|2014 06 23|Kendra Wilkinson's husband Hank Baskett 'cheated with transsexual Ava Sabrina London while star was eight months pregnant... paid $2,500 to keep her quiet'
The Daily Mail|2014 06 24|Pictured: Hank Baskett checks into hotel hours after he was kicked out by Kendra Wilkinson... as transsexual model spills on tryst
The Daily Mail|2014 06 24|Transsexual model Ava Sabrina London tells all about her 'paid sexual encounter' with Kendra Wilkinson's husband Hank Baskett in explicit interview
The Daily Mail|2014 06 24|Meet Turkey's transgender beauty queens: First competition of its kind held in Istanbul against backdrop of prejudice and violence
The Daily Mail|2014 06 27|Transsexual model claims Hank Baskett 'begged her' to keep 'cheating scandal' a secret... as moving trucks are spotted near home he shares with Kendra Wilkinson
The Daily Mail|2014 06 30|Obama to expand safeguards for transgender workers
The Daily Mail|2014 06 30|Transgender officer fired in Connecticut
The Daily Mail|2014 07 01|'I was asked for ID to prove I’m female': Transgender woman accuses lingerie store of humiliating her during bra fitting
The Daily Mail|2014 07 02|Transsexual at centre of Kendra Wilkinson and Hank Baskett marriage crisis opens up about $50k transition from Paul to Ava
The Daily Mail|2014 07 04|'Obama is gay': Joan Rivers jokes about US President and calls First Lady Michelle 'a tranny' in latest off-colour rant
The Daily Mail|2014 07 11|Laverne Cox celebrates at Justin Timberlake concert after making history as first openly transgender actress nominated for Emmy
The Daily Mail|2014 07 14|Transgender girl 'assaults two people at psychiatric center' and is moved to juvenile home for boys
The Daily Mail|2014 07 17|'My brother showed me how to live your OWN LIFE' Slain transgender woman was sibling of NBA player Reggie Bullock
The Daily Mail|2014 07 18|Obama to ban discriminating against federal workers who are gay or transgender
