newsSource|publishDate|headlineText
Buzzfeed|2015 10 30|Transgender Woman Moved From An All-Male Prison To Women's Prison
Buzzfeed|2015 11 3|Federal Authorities Find Chicago School District Violated Transgender Student’s Rights
Buzzfeed|2015 11 4|"Santorum: Schools Telling Non-Transgender Children ""Maybe You Should"" Be Confused"
Buzzfeed|2015 11 5|Ben Carson Proposes Separate Restrooms For Transgender People
Buzzfeed|2015 11 20|The Transgender Flag Is Being Flown By The UK Government For The First Time
Buzzfeed|2015 11 20|The First Murdered Trans Woman I Mourned
Buzzfeed|2015 11 20|Vigil Held After Transgender Woman Vicky Thompson Found Dead In Men's Prison
Buzzfeed|2015 11 20|Why Are So Many Black Transgender Women Getting Killed In Detroit?
Buzzfeed|2015 11 25|19 Heartbreakingly Honest Confessions About Dating As A Transgender Person
Buzzfeed|2015 11 25|"Israeli Supreme Court Rejects Family Petition To Bury Trans Woman As Their “Son"""
Buzzfeed|2015 11 29|A 6-Year-Old Was Stopped From Reading A Book About Being Transgender
Buzzfeed|2015 11 30|"Ted Cruz Floats Report That Planned Parenthood Shooter Was A ""Transgendered Leftist"""
Buzzfeed|2015 11 30|"Ted Cruz Floats Report That Planned Parenthood Shooter Was A ""Transgendered Leftist"""
Buzzfeed|2015 12 1|Second Trans Woman Found Dead In A Men's Prison
Buzzfeed|2015 12 1|U.S. Marine Convicted Of Killing A Trans Woman In The Philippines
Buzzfeed|2015 12 3|Chicago School District That Violated Transgender Student’s Rights Settles With Federal Authorities
Buzzfeed|2015 12 3|Transgender Woman Left With A Broken Eye Socket Not Told Of Attacker's Sentencing
Buzzfeed|2015 12 5|"Ben Carson: ""Deal With The Transgender Thing Somewhere Else"" Besides Military"
Buzzfeed|2015 12 8|Unprecedented $20 Million Announced For Transgender Causes
Buzzfeed|2015 12 9|911 Audio: Hotel Manager Reports Guest For Being Transgender
Buzzfeed|2015 12 15|Dieser Tätowierer machte seiner Frau ein Tattoo ihres Transgender-Sohns
Buzzfeed|2015 12 15|"Caitlyn Jenner Apologised For Saying A Trans Woman Shouldn't Look Like ""A Man In A Dress"""
Buzzfeed|2015 12 16|"Transgender Woman ""Injected Bleach Into Her Testicles"" After Being Denied Treatment"
Buzzfeed|2015 12 22|14 Wins For Transgender Canadians In 2015
Buzzfeed|2016 01 3|The Aftermath Of A Marine's Conviction In The Death Of A Philippine Trans Woman
Buzzfeed|2016 01 4|This Organisation Is Trying To Launch India's First Transgender Model Agency
Buzzfeed|2016 01 6|India's First Transgender Band Just Released Their First Song And It Will Leave You Speechless
Buzzfeed|2016 01 6|A Transgender Passenger Was Forced To Remove Prosthetic By Airport Security
Buzzfeed|2016 01 13|This Non-Binary Canadian Challenged The Government On Its Rigid Gender Options
Buzzfeed|2016 01 14|"Meet The Very First Transgender Bride On ""Say Yes To The Dress"""
Buzzfeed|2016 01 14|Transgender People Are Being Let Down By The Government, Say MPs
Buzzfeed|2016 01 20|Employer To Pay Transgender Woman $115,000 In Job Discrimination Settlement
Buzzfeed|2016 01 25|Transgender Athletes Can Now Compete In Olympics Without Sex Reassignment Surgery
Buzzfeed|2016 01 29|Genital Surgery Must Be Provided To Trans Woman Through Medicare Program
Buzzfeed|2016 01 30|Trans Woman Killed In Texas Shooting
Buzzfeed|2016 02 1|This Transgender Girl Scout Stood Up To A Bully By Selling Thousands Of Cookies
Buzzfeed|2016 02 6|Activists Condemn Police For Killing Trans Man With Asperger's Syndrome
Buzzfeed|2016 02 6|Anti-Transgender Bills In Washington State Look Doomed — For Now
Buzzfeed|2016 02 12|Trans Woman Settles Suit After Being Denied Hormones In Prison
Buzzfeed|2016 02 16|South Dakota Becomes First State To Pass Anti-Transgender Student Restroom Bill
Buzzfeed|2016 02 19|Two University Of Oregon Fraternities Begin Accepting Transgender Men
Buzzfeed|2016 02 22|This 12-Year-Old Transgender Girl Is Asking Politicians For Help
Buzzfeed|2016 03 1|South Dakota Governor Vetoes Anti-Transgender Student Restroom Bill
Buzzfeed|2016 03 1|KFC Fires Manager For Discriminating Against Transgender Woman
Buzzfeed|2016 03 11|Tennessee Governor Concerned About Anti-Transgender Student Restroom Bill
Buzzfeed|2016 03 14|White House Appoints First Transgender Person As Primary LGBT Liaison
Buzzfeed|2016 03 16|8 Things Non-Binary / Trans People Need To Know About The 2016 Canadian Census
Buzzfeed|2016 03 17|A Senator Has Spoken Passionately About Being Married To Her Transgender Wife
Buzzfeed|2016 03 18|Transgender Woman Loses Anti-Discrimination Case Against Blood Bank
Buzzfeed|2016 03 21|Trans Man Vows To Keep Fighting After Losing China's First Transgender Labor Dispute
Buzzfeed|2016 03 21|Trans Man Vows To Keep Fighting After Losing China's First Transgender Labor Dispute
Buzzfeed|2016 03 21|This 11-Year-Old Transgender Girl Is Scared After The Government Wound Back An Anti-Bullying Program
Buzzfeed|2016 03 28|Transgender Woman Raped Inside Bathroom At Historic Gay Bar
Buzzfeed|2016 03 29|Transgender Student Settles Locker Room Case With University Of Pittsburgh
Buzzfeed|2016 03 30|"Te presentamos al primer modelo transexual en portada de ""Men's Health Alemania"""
Buzzfeed|2016 03 30|Transgender People Are Sharing Photos Of Their Transitions And It's Gorgeous
Buzzfeed|2016 04 2|This Powerful Short Film Reveals The Invisible Struggles Of Being Transgender In India
Buzzfeed|2016 04 3|Transgender-Menschen teilen Fotos ihrer Geschlechtsangleichung und es ist wunderbar
Buzzfeed|2016 04 4|A Trans Man In North Carolina Printed Business Cards To Pass Out In The Ladies’ Room
Buzzfeed|2016 04 6|"Feds ""Ready"" For Transgender Discrimination Complaints In North Carolina"
Buzzfeed|2016 04 6|Teachers Call For More Help To Support Transgender Kids
Buzzfeed|2016 04 7|"Someone In The Canadian Government Called Trump ""Transgender"" And ""Homosexual"""
Buzzfeed|2016 04 12|People Are Sick And Tired Of The ABC Discussing Trans Issues Without A Trans Person In Sight
Buzzfeed|2016 04 17|16 Reactions Any Trans Woman Who's Been To A Party Will Recognize
Buzzfeed|2016 04 17|This Is What It's Like Being A Transgender Teacher In Britain
Buzzfeed|2016 04 20|Curt Schilling Fired By ESPN Over Transgender Facebook Post
Buzzfeed|2016 04 21|A Trans Woman Is Being Held In An Australian Men's Prison
Buzzfeed|2016 04 22|"This Trans Woman Posted A Selfie To Challenge North Carolina's ""Bathroom Law"""
Buzzfeed|2016 04 24|Ted Cruz Compared Transgender People To Donald Trump Dressing Like Hillary Clinton
Buzzfeed|2016 04 25|Transgender Woman Uses Women’s Restroom In North Carolina Governor's Office
Buzzfeed|2016 04 25|Teen Boy Says He Was Kicked Out Of Ted Cruz Rally For Being Transgender
Buzzfeed|2016 04 27|ACLU Considers Legal Challenge To Anti-Transgender Restroom Law In Alabama
Buzzfeed|2016 04 30|Estos increíbles retratos muestran el espectro de los cuerpos de hombres transexuales
Buzzfeed|2016 05 2|Here's Why This Ad Featuring A Transgender Man Is A Big Deal
Buzzfeed|2016 05 3|This Transgender Activist Recorded Her Attack By A Woman On A Train
Buzzfeed|2016 05 3|Alabama City Will Consider Repealing Extreme Anti-Transgender Restroom Ordinance
Buzzfeed|2016 05 3|"""Active Shooter"" At Target Was Actually Man Protesting Against Transgender Restroom Policy"
Buzzfeed|2016 05 4|Alabama City Council Recalls Anti-Transgender Bathroom Law
Buzzfeed|2016 05 9|This Woman Is The First Transgender Congressperson In The Philippines
Buzzfeed|2016 05 10|Watch This Comedy Trio Skewer The Offensive Questions Transgender People Get Asked
Buzzfeed|2016 05 12|Massachusetts House And Senate Approve Transgender-Rights Bill
Buzzfeed|2016 05 13|New Obamacare Rule Protects Transgender Patients
Buzzfeed|2016 05 13|This Fashion Designer's Shoot For Her Latest Collection Features Transgender Women And It Is Beautiful
Buzzfeed|2016 05 13|Obama Administration Tells Schools Transgender Students Can Use Restroom Of Choice
Buzzfeed|2016 05 17|This Winnipeg Transgender Dad Wrote A Book About Giving Birth
Buzzfeed|2016 05 17|A New Bill Will Ban Discrimination Against Transgender Canadians
Buzzfeed|2016 05 17|While Transitioning, This Transgender Artist Has Been Re-Creating Old Photos Of Her Mother
Buzzfeed|2016 05 17|These Mums Are Angry About Delayed Reform For Their Transgender Kids
Buzzfeed|2016 05 18|Here's What Some Tories Think About Canada's New Transgender Rights Bill
Buzzfeed|2016 05 21|This Is What Workplace Discrimination Is Like For Transgender People
Buzzfeed|2016 05 23|Sanders Responded To Transgender-Rights Survey — But Clinton Didn’t
Buzzfeed|2016 05 24|Clinton Fundraiser Slams Campaign For Ignoring Transgender Survey
Buzzfeed|2016 05 25|11 States Sue Obama Administration Over Transgender Rules
Buzzfeed|2016 06 2|Cleveland Council Poised To Vote Soon On Transgender Restroom Bill
Buzzfeed|2016 06 2|This 18-Year-Old Transgender Man Says Roz Ward Saved His Life
Buzzfeed|2016 06 3|Norway Is The Latest Country To Make Life Way Easier For Transgender People
Buzzfeed|2016 06 3|Vermont Police: Murder Of Transgender Man At Homeless Camp Not A Hate Crime
Buzzfeed|2016 06 6|Airbnb Removes Host Who Denied A Trans Woman A Place To Stay
Buzzfeed|2016 06 6|These New NYC Subway Ads Will Promote Transgender People's Right To Use Restrooms
Buzzfeed|2016 06 14|This Transgender Woman Is The First To Be On The Cover Of Women's Running
Buzzfeed|2016 06 19|Activists Tear Gassed, Detained At Turkish Transgender Pride Parade
Buzzfeed|2016 06 22|ISIS Members Arrested For Plotting To Attack Transgender Pride In Istanbul, Officials Say
Buzzfeed|2016 06 23|Federal Court Orders School Board To Let Transgender Boy Use Restroom
Buzzfeed|2016 06 24|Ban On Transgender Military Service Expected To Be Lifted In July
Buzzfeed|2016 06 24|"This Gay Woman's Father Is Distributing ""Hurtful"" Anti-Transgender Flyers"
Buzzfeed|2016 06 27|A Group Of Clerics In Pakistan Issued A Fatwa Declaring That Transgender People Can Marry
Buzzfeed|2016 06 29|The Military’s New Transgender Policy Is Expected To Cover These Key Issues
Buzzfeed|2016 06 29|"A 12-Year-Old Transgender Girl Fact-Checked This Anti ""Safe Schools"" Flyer"
Buzzfeed|2016 06 30|The Pentagon Has Repealed Its Ban On Transgender People Serving In The Military
Buzzfeed|2016 06 30|The Estimated Population Of Transgender People In The U.S. Has Doubled To 1.4 Million
Buzzfeed|2016 07 13|Trans Woman Arrested For Taking Photos Of Teen In Target Dressing Room
Buzzfeed|2016 07 22|This Trans Woman Couldn't Get A Brazilian Because She Hasn't Had Surgery
Buzzfeed|2016 07 22|"Peter Thiel Calls Transgender Bathroom Access ""A Distraction"" At GOP Convention"
Buzzfeed|2016 07 27|12 States Will Support Obama’s Transgender Policies In Court, Bucking Texas And Others
Buzzfeed|2016 07 28|"Everyone Should Watch Karl Stefanovic's Apology For Saying ""Tranny"""
Buzzfeed|2016 07 29|A Bar Told This Trans Woman She Could Only Use The Men's Bathroom
Buzzfeed|2016 08 1|Judge Appears Skeptical Of Need For North Carolina's Anti-Transgender Law
Buzzfeed|2016 08 3|Indian Government Introduces Transgender Rights Bill
Buzzfeed|2016 08 3|These Stunning Transgender Dancers Were Draped In Saris By Indian Designers
Buzzfeed|2016 08 4|People Can't Get Enough Of This Facebook Post About A Trans Person's Positive TSA Experience
Buzzfeed|2016 08 4|A Transgender Pageant Was Just Raided By The Ugandan Police
